property_ID,locality_name,postal_code,property_type,property_subtype,sale_type,number_of_rooms,furnished,open_fire,terrace_area,garden_area
11062353,Tollembeek,1570,HOUSE,HOUSE,FOR_SALE,,0,True,0,0
11154533,SINT-NIKLAAS,9100,HOUSE,HOUSE,FOR_SALE,,0,False,100,700
11154527,Pelt,3900,HOUSE,HOUSE,FOR_SALE,,0,False,0,0
11154526,Middelkerke,8430,HOUSE,HOUSE,FOR_SALE,3,True,False,0,0
11154523,Turnhout,2300,HOUSE,HOUSE,FOR_SALE,,0,True,0,62
11154522,Merksem (Antwerpen),2170,APARTMENT,APARTMENT,FOR_SALE,,False,False,7,0
11154521,Blankenberge,8370,APARTMENT,APARTMENT,FOR_SALE,,False,False,0,0
11154520,LONCIN,4431,HOUSE,HOUSE,FOR_SALE,,False,False,0,0
11154519,Gouvy,6673,HOUSE,HOUSE,FOR_SALE,8,0,False,0,0
11154517,Gilly,6060,HOUSE,HOUSE,FOR_SALE,,0,True,24,376
11154516,Gilly,6060,HOUSE,HOUSE,FOR_SALE,,0,True,24,630
11154515,Chatelineau,6200,APARTMENT,APARTMENT,FOR_SALE,,0,True,0,0
11154514,Charleroi,6032,HOUSE,HOUSE,FOR_SALE,,0,True,39,250
11145443,Châtelet,6200,HOUSE,HOUSE,FOR_SALE,,0,True,0,340
11154513,Gosselies,6041,HOUSE,APARTMENT_BLOCK,FOR_SALE,,0,True,0,71
11154511,Châtelet,6200,HOUSE,HOUSE,FOR_SALE,,0,True,46,378
11154509,Gent,9000,HOUSE,HOUSE,FOR_SALE,,0,True,0,0
11154508,Waterloo,1410,HOUSE,VILLA,FOR_SALE,,False,True,38,0
11154506,Gilly,6060,HOUSE,HOUSE,FOR_SALE,,0,True,0,0
