,how_many_shops,property_id,locality_name,postal_code,streetname,housenumber,latitude,longitude,property_type,property_subtype,price,type_of_sale,nb_of_rooms,area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_area_plot,nb_of_facades,swimming_pool,state_of_building,surface_of_good
268,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,
269,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,
270,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
271,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
272,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
275,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,
276,369.0,,,,,,,,,,,,,,,,,,,,,,,,,,
277,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
278,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
279,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,
280,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
281,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,
282,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,
283,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,
284,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
285,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,
286,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,
287,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,
288,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,
289,774.0,,,,,,,,,,,,,,,,,,,,,,,,,,
290,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,
291,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,
292,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,
293,1038.0,,,,,,,,,,,,,,,,,,,,,,,,,,
294,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,
295,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
296,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,
297,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,
298,647.0,,,,,,,,,,,,,,,,,,,,,,,,,,
299,613.0,,,,,,,,,,,,,,,,,,,,,,,,,,
300,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
301,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,
302,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
303,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,
304,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
305,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
306,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
307,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
308,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
309,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
311,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
312,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
313,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
314,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
315,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
316,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
317,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,,,,,,
